Log for:/srv/http/tid4k/
# timestamp | duration | file | instruction | dir | modtime | etag | size | fileId | status | errorString | http result code | other size | other modtime | X-Request-ID
#=#=#=#=# Propagation starts 2023-03-03T06:24:53Z (last step: 1148 msec , total: 1148 msec) 
2023-03-03T06:24:54Z | pages/readme.tid4k_1.2.txt | SyncInstruction(CSYNC_INSTRUCTION_NEW) | OCC::SyncFileItem::Down | | 1677823423 | 127a60f66c05a23441e219c802975cbb | 99522 | 00194674oc45wm5th3j3 | OCC::SyncFileItem::Success |  | 200 | 0 | 0 | fcb7274b-6f40-412e-b0bb-a20cd0944e17 | 
#=#=#=# Syncrun finished 2023-03-03T06:24:54Z (last step: 403 msec , total: 1551 msec) 
#=#=#=# Syncrun started 2023-03-03T06:31:01Z
#=#=#=#=# Propagation starts 2023-03-03T06:31:02Z (last step: 710 msec , total: 710 msec) 
 | pages/intampinare.php | SyncInstruction(CSYNC_INSTRUCTION_REMOVE) | OCC::SyncFileItem::Down | | 1677097092 | b1f9de5882239cb378f3e2b71750efcf | 587 | 00194470oc45wm5th3j3 | OCC::SyncFileItem::Success |  | 0 | 587 | 1677097092 |  | 
 | pages/pre_autorizare.copie.php | SyncInstruction(CSYNC_INSTRUCTION_REMOVE) | OCC::SyncFileItem::Down | | 1677161176 | ad52774be1cb292990c9bc99b16e222f | 482 | 00194472oc45wm5th3j3 | OCC::SyncFileItem::Success |  | 0 | 482 | 1677161176 |  | 
 | pages/pre_autorizare.copie2.php | SyncInstruction(CSYNC_INSTRUCTION_REMOVE) | OCC::SyncFileItem::Down | | 1677162160 | b72203f8d17c3a6c3bfd6cf70f05a3f6 | 2634 | 00194473oc45wm5th3j3 | OCC::SyncFileItem::Success |  | 0 | 2634 | 1677162160 |  | 
 | pages/pre_autorizare.copie3.php | SyncInstruction(CSYNC_INSTRUCTION_REMOVE) | OCC::SyncFileItem::Down | | 1677172291 | 4b9683332e92f113a0f3e3f398c938eb | 6345 | 00194474oc45wm5th3j3 | OCC::SyncFileItem::Success |  | 0 | 6345 | 1677172291 |  | 
 | pages/pre_autorizare.copy.php | SyncInstruction(CSYNC_INSTRUCTION_REMOVE) | OCC::SyncFileItem::Down | | 1677162045 | e7edfdf821c5571d55cb07da12dcb282 | 3817 | 00194475oc45wm5th3j3 | OCC::SyncFileItem::Success |  | 0 | 3817 | 1677162045 |  | 
 | pages/pre_autorizare.qr_varianta.php | SyncInstruction(CSYNC_INSTRUCTION_REMOVE) | OCC::SyncFileItem::Down | | 1677356521 | 1ac0ba9a9bbc6771ef95a89643fb93c1 | 4738 | 00194477oc45wm5th3j3 | OCC::SyncFileItem::Success |  | 0 | 4738 | 1677356521 |  | 
 | pages/procesare_inregistrare.php | SyncInstruction(CSYNC_INSTRUCTION_REMOVE) | OCC::SyncFileItem::Down | | 1677152707 | d629e5fe5bf9b2fe6865fed06aefc65f | 628 | 00194478oc45wm5th3j3 | OCC::SyncFileItem::Success |  | 0 | 628 | 1677152707 |  | 
 | pages/welcome.php | SyncInstruction(CSYNC_INSTRUCTION_REMOVE) | OCC::SyncFileItem::Down | | 1677438611 | 2e0179175422ccb0ac57c61acc1caf35 | 1025 | 00194662oc45wm5th3j3 | OCC::SyncFileItem::Success |  | 0 | 1025 | 1677438611 |  | 
 | generate_qr.php | SyncInstruction(CSYNC_INSTRUCTION_REMOVE) | OCC::SyncFileItem::Down | | 1677652769 | 887ab4f0546d3da4b38d7818835edfce | 279 | 00194536oc45wm5th3j3 | OCC::SyncFileItem::Success |  | 0 | 279 | 1677652769 |  | 
 | index.copie.php | SyncInstruction(CSYNC_INSTRUCTION_REMOVE) | OCC::SyncFileItem::Down | | 1677484000 | 5cfc02b34caebcd3d343a6ea8a78c0c1 | 388 | 00194537oc45wm5th3j3 | OCC::SyncFileItem::Success |  | 0 | 388 | 1677484000 |  | 
 | phpinfo.php | SyncInstruction(CSYNC_INSTRUCTION_REMOVE) | OCC::SyncFileItem::Down | | 1677679034 | e1f800207d86220a12e7147e161375fa | 20 | 00194538oc45wm5th3j3 | OCC::SyncFileItem::Success |  | 0 | 20 | 1677679034 |  | 
 | qr_code_generator.php | SyncInstruction(CSYNC_INSTRUCTION_REMOVE) | OCC::SyncFileItem::Down | | 1677431450 | ba8473e9355a6ebb72b559852ae40305 | 614 | 00194468oc45wm5th3j3 | OCC::SyncFileItem::Success |  | 0 | 614 | 1677431450 |  | 
 | qr_code_generator.varianta2.php | SyncInstruction(CSYNC_INSTRUCTION_REMOVE) | OCC::SyncFileItem::Down | | 1677432359 | f0e159525802b8f1dacfadd88b065642 | 989 | 00194469oc45wm5th3j3 | OCC::SyncFileItem::Success |  | 0 | 989 | 1677432359 |  | 
#=#=#=# Syncrun finished 2023-03-03T06:31:02Z (last step: 23 msec , total: 734 msec) 
#=#=#=# Syncrun started 2023-03-03T06:37:08Z
#=#=#=#=# Propagation starts 2023-03-03T06:37:09Z (last step: 778 msec , total: 779 msec) 
 | include/qr_code_generator.php | SyncInstruction(CSYNC_INSTRUCTION_REMOVE) | OCC::SyncFileItem::Down | | 1677431450 | 0509bcd1cad0d052430efb93cadac577 | 614 | 00194661oc45wm5th3j3 | OCC::SyncFileItem::Success |  | 0 | 614 | 1677431450 |  | 
 | include/qr_code_generator.varianta2.php | SyncInstruction(CSYNC_INSTRUCTION_REMOVE) | OCC::SyncFileItem::Down | | 1677432359 | ba0d6e6caa78c6d4651a4e8e43681c8d | 989 | 00194660oc45wm5th3j3 | OCC::SyncFileItem::Success |  | 0 | 989 | 1677432359 |  | 
#=#=#=# Syncrun finished 2023-03-03T06:37:09Z (last step: 3 msec , total: 782 msec) 
#=#=#=# Syncrun started 2023-03-03T06:43:27Z
#=#=#=#=# Propagation starts 2023-03-03T06:43:27Z (last step: 480 msec , total: 480 msec) 
#=#=#=# Syncrun finished 2023-03-03T06:43:27Z (last step: 2 msec , total: 482 msec) 
